,question,text
0,CC302,Economy over past year
1,CC304,Household income past 4 years
2,CC302a,Economy over next year
3,CC305,Iraq - Mistake?
4,CC306,Afghanistan - Mistake?
5,CC308a,Approval - Obama
6,CC308b,Approval - Congress
7,CC308c,Approval - Supreme Court
8,CC321,Climate
9,CC322_1,Legalize law-abiding
10,CC322_2,Increase border patrols
11,CC322_3,Police questioning
12,CC322_4,Fine employers of illegal immigrants
13,CC322_5,No public services for illegal immigrants
14,CC322_6,No birthright citizenship
15,CC324,Abortion
16,CC325,Jobs-Environment
17,CC326,Gay Marriage
18,CC327,Affirmative Action
19,CC332A,Roll Call - Ryan Budget Bill
20,CC332B,Roll Call - Simpson-Bowles Budget Plan
21,CC332C,Roll Call - Middle Class Tax Cut Act
22,CC332D,Roll Call - Tax Hike Prevention Act
23,CC332E,Roll Call - Birth Control Exemption
24,CC332F,Roll Call - US-Korea Free Trade Agreement
25,CC332G,Roll Call - Repeal ACA
26,CC332H,Roll Call - Keystone Pipeline
27,CC332I,Roll Call - ACA
28,CC332J,"Roll Call - End Don't Ask, Don't Tell"
