,CC16_302,CC16_303,CC16_304,CC16_307,CC16_320a,CC16_320b,CC16_320c,CC16_320d,CC16_320e,CC16_320f,CC16_320g,CC16_320h,CC16_330a,CC16_330b,CC16_330d,CC16_330e,CC16_331_1,CC16_331_2,CC16_331_3,CC16_331_7,CC16_331_9,CC16_332a,CC16_332b,CC16_332c,CC16_332d,CC16_332e,CC16_332f,CC16_333a,CC16_333b,CC16_333c,CC16_333d,CC16_334a,CC16_334b,CC16_334c,CC16_334d,CC16_335,CC16_351B,CC16_351E,CC16_351F,CC16_351G,CC16_351H,CC16_351I,CC16_351K
300894516,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,0,1,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
300895096,1.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
300897428,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0,1,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
300912672,3.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,4.0,0.0,1.0,1.0,1.0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
300924908,2.0,3.0,3.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
300931090,2.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
300937070,2.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0
300985440,1.0,2.0,,1.0,1.0,3.0,0.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
300996404,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,1,1,1,0,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0
301008043,3.0,3.0,4.0,2.0,3.0,,3.0,4.0,3.0,4.0,4.0,4.0,1.0,0.0,1.0,0.0,1,0,1,0,1,0.0,1.0,0.0,1.0,0.0,1.0,,,,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
301021702,3.0,3.0,3.0,0.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,,0.0,0.0,0.0,1.0,1,0,1,0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301034555,1.0,3.0,,0.0,0.0,4.0,0.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,0.0,1.0,0,1,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
301041731,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
301041752,2.0,1.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301044953,4.0,2.0,4.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,1,0,0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
301045806,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
301046432,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1,0,1,1,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
301055438,1.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0,1,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
301061580,1.0,2.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0,0,0,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
301089549,2.0,1.0,2.0,1.0,0.0,3.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
