"","CC302","CC304","CC302a","CC305","CC306","CC308a","CC308b","CC308c","CC320","CC321","CC322_1","CC322_2","CC322_3","CC322_4","CC322_5","CC322_6","CC324","CC325","CC326","CC327","CC332A","CC332B","CC332C","CC332D","CC332E","CC332F","CC332G","CC332H","CC332I","CC332J"
"162362649",5,3,4,2,2,4,4,2,2,4,2,1,2,1,2,1,2,3,2,4,2,1,2,1,1,1,1,1,2,2
"162362679",4,4,3,1,1,2,4,4,1,1,1,2,2,1,2,2,4,1,1,2,2,2,1,2,2,1,2,1,1,1
"162362682",2,2,2,1,3,2,3,3,1,1,1,2,2,1,2,2,4,2,1,2,2,1,1,2,2,1,2,1,1,1
"162362700",1,2,1,1,1,1,4,4,1,2,1,2,2,1,2,2,3,2,1,2,2,1,1,2,2,2,2,2,1,1
"162362718",4,4,6,2,1,4,4,4,3,4,2,1,2,1,1,1,1,5,2,4,2,2,1,2,1,2,1,1,2,1
"162362722",3,5,2,1,1,1,4,2,2,1,1,1,2,1,2,2,4,2,1,4,2,2,1,2,2,1,2,1,1,1
"162362724",2,4,6,1,1,2,4,4,1,1,1,1,2,1,2,2,4,2,1,2,2,2,1,2,2,2,2,2,1,1
"162362732",2,3,2,2,2,1,2,2,1,1,2,1,2,1,1,2,4,3,1,4,2,2,1,2,2,2,2,1,1,1
"162362741",4,4,5,3,3,3,3,3,3,2,2,1,1,1,1,1,2,4,2,2,2,2,1,2,2,2,1,1,2,1
"162362742",5,4,5,3,1,4,4,4,3,4,2,1,1,2,1,1,1,4,2,4,1,2,1,2,1,1,1,1,2,2
"162362758",4,4,5,1,3,2,4,5,1,1,1,2,2,2,2,2,4,1,1,3,2,2,,,2,,2,2,1,1
"162362761",4,2,4,2,2,4,4,3,3,2,1,1,1,1,2,1,4,3,1,3,2,2,1,2,2,2,2,1,2,1
"162362762",5,4,6,3,3,4,4,4,3,3,2,1,2,1,1,2,1,4,2,4,1,1,,,1,1,1,1,2,2
"162362793",3,2,3,2,2,4,3,3,1,4,2,1,1,1,2,1,1,4,2,3,2,2,1,1,1,1,2,1,1,1
"162362815",4,3,3,2,2,4,3,3,3,3,2,1,1,1,2,1,2,5,2,4,2,1,1,2,1,2,1,1,2,2
"162362825",3,4,2,1,1,2,4,3,3,1,2,2,1,1,2,2,4,3,1,2,2,2,1,2,2,1,2,2,1,1
"162362864",5,5,5,2,2,4,4,4,3,3,2,1,2,1,2,1,1,3,2,4,2,2,2,1,1,1,1,1,2,2
"162362872",4,4,3,1,1,4,2,2,1,1,1,1,1,1,1,1,4,2,2,2,2,1,1,1,2,2,,,1,1
"162362875",4,3,3,2,2,4,2,2,3,2,1,1,2,1,2,2,2,4,2,2,2,1,1,2,1,1,1,1,2,1
"162362912",3,3,2,1,1,2,4,3,1,2,1,1,2,1,2,2,4,2,1,2,2,2,2,2,2,2,2,,1,1
"162362927",2,3,2,1,3,2,4,3,1,1,1,2,2,1,2,2,3,2,1,2,2,2,1,2,2,2,2,2,1,1
"162362933",5,5,5,1,1,4,4,4,1,1,1,2,2,1,2,2,4,3,1,2,2,1,2,2,2,2,1,2,2,1
"162362945",4,4,3,1,1,4,4,4,3,4,1,1,2,1,2,1,2,4,1,2,2,2,2,2,1,1,1,,2,1
"162362954",4,4,4,1,1,4,4,4,2,2,2,1,2,1,1,2,4,4,2,4,2,2,1,2,2,1,1,1,2,1
"162362956",3,4,2,2,2,3,2,3,1,3,2,1,2,1,2,2,4,4,1,3,2,2,2,2,2,2,2,2,1,1
"162362979",3,3,3,1,1,4,3,3,3,3,2,1,2,1,2,1,1,3,2,2,2,1,1,2,1,2,1,1,2,2
"162362989",2,3,2,1,1,1,3,1,1,1,1,2,2,2,2,2,4,1,1,1,2,2,2,2,,,2,2,1,1
"162362994",5,5,6,2,2,4,4,3,3,5,2,1,1,1,2,1,2,3,2,4,2,2,2,2,1,2,1,,2,2
"162362995",5,2,4,1,1,4,4,4,1,1,2,1,1,1,1,1,4,4,1,4,1,2,2,2,2,2,1,1,2,1
"162363003",4,5,3,2,2,4,4,4,1,2,2,1,1,1,1,1,1,3,2,4,2,2,1,2,1,2,1,1,2,2
"162363008",4,4,5,3,3,4,3,4,1,4,2,1,2,2,2,2,1,5,2,3,1,2,2,1,1,1,1,2,2,2
"162363015",1,3,1,1,1,1,4,3,1,1,1,1,2,1,2,2,4,1,1,2,2,1,1,2,2,1,2,2,1,1
"162363030",4,3,5,3,3,4,3,4,3,4,2,1,1,1,2,1,1,5,2,4,2,2,1,1,1,1,1,1,2,2
"162363034",2,3,1,3,3,1,4,3,1,2,1,2,2,2,2,2,4,3,1,4,2,2,2,2,2,2,2,1,1,1
"162363056",2,2,2,1,3,2,3,5,1,1,2,1,2,2,2,2,4,1,1,,2,1,2,2,2,,2,2,1,1
"162363060",2,3,2,1,1,2,4,2,1,1,1,2,2,2,2,2,4,2,1,3,2,2,1,2,1,1,2,2,1,1
"162363066",3,3,2,1,1,2,2,2,1,1,1,2,2,2,2,2,3,3,2,1,2,2,1,2,2,2,1,1,1,1
"162363067",2,4,2,1,3,2,3,3,3,2,1,2,2,2,2,2,4,3,1,2,2,1,1,2,2,2,2,1,1,1
"162363070",3,3,3,1,1,3,3,3,1,2,2,2,1,1,1,1,4,3,1,2,1,1,1,2,1,2,1,,2,1
"162363076",5,5,6,3,3,4,4,4,1,2,1,2,2,2,2,2,4,2,2,3,2,1,2,2,,1,2,1,1,1
"162363079",2,3,2,3,3,2,3,3,1,3,1,2,2,2,2,2,4,3,1,3,2,1,1,2,2,1,2,1,1,1
"162363087",3,3,3,2,1,4,3,3,3,4,2,1,1,1,1,1,1,5,2,4,2,1,1,2,1,1,1,1,2,2
"162363091",4,4,3,1,3,3,4,3,3,2,2,1,1,2,2,1,2,3,2,4,2,2,,,1,2,1,1,2,1
"162363100",2,2,2,1,2,2,4,3,1,2,1,2,2,1,2,2,4,2,1,2,2,1,1,2,2,1,2,1,1,1
"162363107",5,3,4,2,3,4,4,4,3,3,2,1,1,1,1,1,2,2,2,3,2,2,1,1,,,,1,2,2
"162363125",1,2,1,1,1,1,4,1,1,2,1,1,2,1,2,2,4,1,1,3,2,1,1,2,2,2,2,,1,1
"162363137",5,5,2,1,1,1,2,5,1,2,2,1,2,1,2,2,3,2,2,1,2,1,1,2,2,1,2,1,1,1
"162363142",2,2,2,1,2,1,3,2,1,1,1,2,2,2,2,2,4,1,1,2,2,1,1,2,2,1,2,1,1,1
"162363169",2,3,2,1,1,1,4,2,1,2,1,2,2,2,2,2,4,4,1,2,2,2,1,2,2,1,2,1,1,1
"162363181",2,2,3,1,3,2,4,3,1,1,2,2,2,1,2,2,4,1,1,2,2,2,2,2,2,2,2,,1,1
"162363241",3,4,3,1,1,4,4,3,3,4,2,1,2,2,1,1,2,5,2,4,2,1,1,1,1,1,1,1,2,1
"162363253",4,3,6,2,3,4,2,2,3,4,1,1,1,1,2,2,2,4,2,4,,,1,2,1,1,1,,2,2
"162363264",2,2,2,1,1,1,4,3,1,1,1,2,2,2,2,2,4,2,1,2,2,2,1,,2,2,2,,1,1
"162363267",2,3,1,1,2,1,4,2,1,2,1,2,2,2,2,2,4,4,1,4,,2,1,,1,1,2,1,1,1
"162363268",3,4,2,1,1,2,4,5,1,2,1,2,2,2,1,2,4,4,1,4,2,1,1,2,2,1,2,1,1,1
"162363270",5,5,4,2,2,4,3,3,1,2,2,1,1,1,1,1,4,3,1,4,2,1,2,2,2,2,2,1,2,1
"162363297",4,4,6,1,1,4,4,2,1,3,2,1,2,1,2,2,4,3,1,4,2,1,2,2,2,1,2,1,2,1
"162363298",2,4,2,1,3,2,4,4,1,2,1,2,2,1,2,2,4,3,1,2,2,1,2,2,2,2,2,1,1,1
"162363309",2,5,2,1,1,1,4,2,1,1,1,1,2,1,2,1,4,1,1,3,1,1,1,2,2,2,2,1,1,1
"162363336",5,5,3,2,1,4,4,4,2,4,2,1,1,1,1,1,4,4,1,4,2,2,1,2,1,1,1,1,2,1
"162363350",4,3,3,2,2,4,3,3,3,4,2,1,1,1,1,1,2,4,2,4,2,1,2,1,1,2,1,1,2,1
"162363373",5,5,5,1,1,4,4,4,3,2,2,1,1,2,1,1,4,1,1,3,2,1,1,2,2,2,2,2,2,1
"162363394",5,3,5,3,3,4,3,3,2,4,2,1,1,1,2,1,2,5,2,4,2,1,2,1,1,2,1,1,2,2
"162363400",4,3,4,1,1,4,3,3,3,3,2,1,1,1,2,2,2,3,2,4,2,1,2,1,1,2,1,1,2,2
"162363401",2,2,2,1,3,1,4,3,1,1,1,2,2,1,2,2,4,1,1,2,2,2,1,2,2,2,2,2,1,1
"162363468",4,4,2,3,3,4,5,5,3,3,1,2,2,2,2,2,2,5,2,3,2,2,1,2,1,1,1,1,2,2
"162363645",2,3,2,1,1,1,4,4,1,1,1,2,2,2,2,2,4,1,1,1,2,2,1,2,2,2,2,2,1,1
"162363651",2,3,1,1,1,1,4,3,1,2,1,2,2,2,2,2,4,2,1,3,2,2,1,2,2,1,2,,1,1
"162363660",3,3,4,1,1,4,3,2,2,4,2,1,2,1,1,1,3,4,2,4,2,1,2,2,1,2,1,,2,2
"162363699",3,2,2,1,1,2,4,4,3,3,2,1,2,1,1,2,4,3,1,4,2,2,2,2,2,2,2,1,1,1
"162363801",2,5,2,3,3,1,4,5,1,1,1,2,2,2,2,2,3,1,1,1,2,2,1,2,2,,2,2,1,1
"162363867",2,2,1,2,2,2,4,1,1,1,1,1,2,2,2,2,3,1,1,2,2,2,1,2,2,1,2,2,1,1
"162364075",2,3,2,1,3,2,4,3,1,3,2,1,1,1,2,1,4,3,1,3,2,1,1,2,2,1,2,2,1,1
"162364083",2,2,3,1,1,1,1,2,1,1,1,2,2,2,2,2,3,4,1,1,2,2,,,,,,,,
"162364184",3,5,3,1,1,1,4,3,3,2,2,1,1,1,2,2,4,1,1,3,2,2,1,2,2,2,2,1,2,1
"162364211",4,2,4,2,2,4,3,3,3,3,2,1,1,1,1,1,1,3,2,4,1,1,1,1,1,2,1,1,2,1
"162364283",3,4,3,1,2,4,4,3,1,3,2,1,1,1,1,2,4,4,1,3,1,1,1,1,2,1,1,1,2,1
"162364374",5,4,5,2,2,4,2,4,3,5,2,1,1,1,1,1,1,5,2,4,1,2,1,1,1,2,2,1,2,2
"162364792",4,4,4,2,2,4,4,2,3,4,2,1,1,1,1,1,2,5,2,4,2,2,2,1,1,1,1,1,2,2
"162364795",2,3,2,1,2,1,4,3,1,1,1,2,2,1,1,1,4,1,1,3,2,2,1,2,2,1,2,1,1,1
"162364806",2,3,3,3,3,5,5,5,1,4,2,1,2,2,2,1,3,3,2,3,1,1,2,2,1,2,2,2,1,2
"162364829",4,3,5,2,1,4,4,2,2,4,2,1,2,1,1,1,2,4,2,4,1,1,2,1,1,1,1,,2,2
"162364901",2,3,2,1,3,2,4,2,1,2,1,2,2,2,2,2,4,3,1,2,,1,,,2,,2,,1,1
"162364904",2,2,1,1,1,1,4,4,1,1,1,2,2,2,2,2,4,1,1,2,2,1,1,2,2,1,2,2,1,1
"162364909",2,4,2,3,3,2,4,5,1,3,1,2,2,2,2,2,4,3,1,3,2,2,1,2,2,2,2,1,1,1
"162364920",2,3,4,1,2,1,4,4,1,1,1,2,2,2,2,2,4,1,1,1,2,1,1,2,2,1,2,,1,1
"162364927",5,3,5,1,1,4,4,4,3,5,2,1,1,1,1,1,3,4,2,4,2,2,2,2,1,2,2,,1,2
"162364947",5,4,2,2,1,4,3,3,2,5,2,1,1,1,1,1,2,5,2,3,1,2,1,1,1,2,1,,2,2
"162364964",5,3,5,2,2,4,2,3,2,4,2,1,1,1,1,1,1,5,2,4,2,2,2,2,1,2,1,,2,2
"162364967",4,4,4,1,2,4,2,2,3,4,2,1,2,1,1,1,2,2,2,4,2,1,1,1,1,1,1,,2,2
"162364991",3,5,6,1,2,2,4,4,1,1,1,1,2,1,2,2,4,1,1,1,2,1,1,2,2,1,2,,,1
"162364995",2,4,2,1,2,2,4,3,3,1,1,1,2,1,2,2,4,4,1,1,2,1,1,2,2,1,2,,1,1
"162364996",2,2,2,1,2,2,4,3,1,1,1,2,2,1,2,2,3,2,1,2,2,2,1,2,2,1,2,,1,1
"162364998",2,2,2,1,1,1,5,5,3,2,1,2,2,2,2,2,4,4,1,1,2,2,,,,,2,,1,1
"162365005",5,5,5,1,1,4,3,4,3,5,2,2,2,1,2,2,2,4,2,3,2,2,1,1,1,1,1,,2,2
"162365015",2,2,2,1,2,2,3,3,3,3,2,2,1,1,1,1,4,3,1,3,2,1,1,2,2,1,2,,1,1
"162365018",2,4,2,2,2,2,4,5,3,2,1,1,2,1,2,1,2,1,1,3,2,1,2,2,1,1,2,,1,1
"162365021",2,2,2,1,1,1,2,2,1,3,2,1,2,2,2,2,2,4,1,2,2,1,1,2,2,1,2,,1,2
"162365025",5,3,4,3,3,4,3,3,2,4,2,1,1,1,1,1,2,4,2,4,2,1,1,2,1,2,1,,2,2
"162365026",4,4,3,2,2,4,3,3,3,3,2,1,2,1,1,1,1,4,2,4,1,2,2,2,1,2,1,,2,2
"162365027",2,2,2,1,1,2,4,2,1,1,1,2,2,2,2,2,3,2,1,2,2,1,1,2,2,1,2,,1,1
"162365032",1,2,1,3,1,1,2,1,1,3,1,2,2,1,1,2,2,,2,1,2,2,2,2,2,2,2,,1,2
"162365035",2,2,2,1,1,2,4,3,1,1,1,2,2,2,2,2,4,1,1,1,2,2,2,2,2,2,2,,1,1
"162365066",4,4,4,1,2,4,3,3,2,4,2,1,1,1,1,1,3,4,2,4,2,1,2,1,1,1,1,,2,1
"162365070",4,4,6,2,2,4,4,4,3,4,2,1,1,1,1,1,2,4,2,4,2,1,1,2,1,2,1,,2,2
"162365072",5,4,4,1,1,4,2,3,3,1,2,2,2,1,1,1,4,2,2,4,1,1,1,2,2,1,1,,2,2
"162365078",2,,2,1,1,1,2,2,1,3,1,1,1,1,1,2,3,4,1,2,2,2,2,1,1,2,1,,1,1
"162365096",2,2,2,1,1,1,4,3,1,1,2,2,2,1,2,2,4,1,1,2,2,1,1,2,2,1,2,,1,1
"162365097",2,2,2,1,1,1,4,2,1,2,1,1,2,2,2,2,4,3,1,2,2,1,1,2,1,1,2,,1,1
"162365111",3,4,3,2,2,4,4,3,2,3,2,1,1,1,2,1,4,4,1,4,2,1,1,2,1,1,1,,2,1
"162365123",4,3,4,2,2,4,2,2,2,5,2,1,1,1,1,1,2,5,2,4,1,2,2,1,1,2,1,,2,2
"162365129",3,2,2,1,1,1,4,3,3,1,2,2,1,2,2,2,4,1,1,4,2,1,1,1,2,2,2,,1,1
"162365131",2,2,2,1,2,2,4,2,1,2,1,1,2,2,1,1,4,1,1,2,2,1,1,2,2,2,2,,1,1
"162365138",5,5,5,2,2,4,2,2,3,5,2,2,2,2,2,1,4,3,1,2,2,1,1,1,2,1,1,,2,1
"162365147",2,3,2,1,2,1,4,3,1,1,1,2,2,2,2,2,4,3,1,4,2,2,2,2,2,,2,,1,1
"162365150",2,5,3,1,1,3,4,3,1,1,1,2,2,1,2,2,4,2,1,3,2,2,2,2,2,2,2,,1,1
"162365158",4,4,6,2,2,4,3,4,3,3,2,2,1,1,1,1,3,4,2,4,2,1,1,1,1,2,1,,2,1
"162365164",2,2,1,1,2,1,4,4,1,1,1,2,2,2,2,2,4,2,1,1,2,2,1,2,2,2,2,,1,1
"162365166",4,3,2,3,3,4,3,3,3,2,2,1,2,1,2,2,2,3,2,2,,,,,1,1,1,,2,1
"162365179",3,4,3,1,1,2,4,4,1,1,2,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,,1,1
"162365185",5,3,5,1,1,4,4,3,3,5,2,2,1,1,1,1,2,5,2,4,1,1,1,1,1,1,1,,2,2
"162365187",4,2,6,2,2,4,3,3,3,3,2,1,1,1,1,2,3,4,1,4,1,2,2,1,1,2,1,,2,1
"162365197",3,4,2,1,1,3,4,2,2,2,2,1,1,1,1,1,4,2,1,3,2,2,1,1,2,1,2,,1,1
"162365211",2,5,3,1,2,2,4,2,1,1,1,2,2,2,2,2,4,2,1,1,2,2,1,2,2,2,2,,1,1
"162365215",5,4,5,2,2,4,4,4,1,5,2,1,1,1,1,1,2,4,1,4,2,2,2,1,1,2,1,,2,2
"162365218",5,4,4,3,1,4,3,3,3,2,1,1,1,1,2,1,2,2,2,3,2,1,1,1,1,1,1,,2,1
"162365228",4,4,3,2,2,4,3,2,3,4,2,1,1,1,1,1,2,5,2,4,1,2,2,1,1,1,1,,2,2
"162365235",4,3,4,2,2,4,2,3,2,4,2,1,1,1,1,1,2,4,2,4,1,1,1,1,1,2,1,,2,2
"162365236",2,2,2,1,2,2,4,3,1,1,1,1,2,2,2,2,3,3,1,3,2,1,1,2,2,1,2,,1,1
"162365247",3,4,3,2,2,4,2,3,2,3,2,1,1,1,2,1,1,4,2,3,1,1,2,1,1,1,1,,2,2
"162365262",3,4,3,1,1,2,4,4,1,1,1,2,2,1,2,2,3,1,1,2,2,2,2,2,2,2,2,,1,1
"162365304",2,2,2,1,2,2,4,4,1,1,1,2,2,2,2,2,4,2,1,3,2,1,2,2,2,1,2,,1,1
"162365312",4,5,4,2,2,4,3,2,3,4,2,1,2,1,2,1,2,4,2,4,1,1,2,1,1,1,1,,2,2
"162365321",2,1,1,1,2,1,4,3,3,1,1,2,2,2,2,2,3,2,1,2,2,1,1,2,1,2,2,,1,1
"162365332",3,4,3,3,3,3,4,5,3,1,2,1,1,1,1,1,2,2,2,4,1,1,1,2,2,1,2,,1,2
"162365346",2,3,2,1,2,2,4,3,1,1,1,2,2,1,2,2,4,1,1,2,2,1,1,2,2,1,2,,1,1
"162365349",2,3,2,1,1,1,4,3,1,1,1,2,2,2,2,2,4,1,1,2,2,1,2,1,2,1,2,,1,1
"162365350",5,5,2,2,1,4,1,3,3,5,2,2,1,2,2,2,2,4,2,3,1,2,2,1,1,2,1,,2,2
"162365354",4,4,2,3,3,3,2,2,3,2,2,1,1,1,2,1,2,4,1,2,2,1,2,2,2,2,2,,1,1
"162365355",4,2,3,2,2,4,4,2,3,3,2,1,1,1,2,1,2,2,2,4,1,2,2,1,1,2,1,,2,2
"162365358",2,2,2,1,1,1,3,2,1,2,1,1,2,1,2,2,4,4,1,2,,1,1,,2,1,2,,1,1
"162365359",5,4,5,2,2,4,3,2,2,4,2,1,1,1,1,1,2,5,2,4,1,2,2,1,1,1,1,,2,2
"162365366",4,3,6,2,2,4,3,2,1,2,1,1,1,1,1,1,4,2,1,4,2,1,2,2,1,2,1,,2,1
"162365376",2,4,1,1,1,1,4,3,1,1,1,1,2,1,2,2,4,4,1,1,2,2,1,2,2,2,2,,1,1
"162365383",2,3,2,1,2,1,4,3,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,,1,1
"162365393",4,4,2,3,1,4,3,3,3,3,2,2,1,1,1,1,2,5,,4,2,2,,,1,1,,,2,1
"162365401",2,4,2,1,1,1,4,4,1,2,2,1,1,1,1,1,4,4,1,4,2,2,1,2,1,2,2,,1,1
"162365422",2,3,2,1,1,1,4,3,3,1,2,1,2,1,1,1,3,3,1,2,2,1,2,2,2,2,2,,1,1
"162365423",5,5,5,2,1,4,2,2,3,3,2,1,2,1,2,1,3,3,1,4,1,1,2,1,1,1,1,,2,2
"162365429",4,3,5,1,1,3,3,3,3,3,1,2,2,2,2,2,4,3,1,2,2,1,1,2,2,1,2,,1,1
"162365432",2,3,2,3,2,2,4,2,3,1,1,2,2,1,2,2,4,2,1,2,2,1,2,2,2,1,2,,1,1
"162365434",2,3,2,1,3,2,3,3,1,2,1,2,2,2,2,2,4,2,1,2,2,1,2,2,2,1,2,,1,1
"162365435",4,2,4,2,2,4,4,2,3,2,1,1,2,2,2,2,3,4,2,3,1,1,2,2,1,2,1,,2,1
"162365438",3,4,3,3,2,4,4,3,3,3,2,1,2,1,2,2,3,4,2,4,1,2,1,1,1,1,1,,2,1
"162365440",5,4,4,2,2,4,3,2,3,4,2,1,2,2,2,2,2,5,2,4,,2,1,2,2,2,1,,2,2
"162365444",4,5,2,1,2,2,4,1,1,2,1,2,2,2,2,2,4,1,1,2,2,2,1,2,2,1,2,,1,1
"162365447",4,3,3,1,1,4,3,4,3,4,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,,1,1
"162365448",2,3,2,1,2,2,4,4,1,1,1,1,1,1,2,2,4,2,1,2,2,1,1,2,2,1,2,,1,1
"162365457",2,4,2,1,3,1,4,3,1,1,1,1,2,1,2,2,4,3,1,2,2,1,2,2,2,1,2,,1,1
"162365460",2,2,2,1,3,2,4,3,1,1,1,2,2,2,2,2,4,1,1,1,2,1,1,2,2,1,2,,1,1
"162365471",5,3,6,2,1,4,2,2,2,4,2,1,1,1,1,1,1,5,2,4,2,2,2,1,1,1,2,,2,2
"162365485",3,2,4,1,1,3,4,3,3,3,1,2,2,2,2,2,3,4,2,2,2,2,1,1,1,1,1,,2,1
"162365545",3,3,3,1,1,3,3,1,3,2,1,1,1,1,2,2,,4,1,3,1,1,2,2,1,1,1,,2,1
"162365554",2,2,2,2,2,1,4,3,1,1,1,1,2,1,1,2,3,2,2,3,2,2,1,2,2,2,2,,1,1
"162365560",3,3,2,3,3,3,2,2,1,3,2,2,1,2,2,2,1,3,2,2,2,2,2,1,1,2,2,,2,1
"162365640",4,3,2,1,2,1,4,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,,1,1
"162365907",3,2,4,2,2,2,2,2,3,2,2,1,2,1,1,1,4,3,1,3,2,2,1,1,2,2,1,1,2,2
"162366035",5,5,5,2,2,4,4,4,2,4,2,1,1,1,2,1,3,4,2,4,1,2,2,1,1,2,1,,2,1
"162366363",2,3,2,1,2,2,3,1,1,5,1,1,1,1,2,2,4,4,2,1,2,1,1,2,2,1,2,,1,1
"162366407",5,5,3,1,2,4,3,3,2,2,2,1,1,1,1,1,2,5,2,4,1,1,2,1,1,2,1,,2,2
"162366410",5,4,4,2,2,4,3,3,3,5,2,1,1,1,1,1,2,5,2,4,1,2,2,1,1,2,1,,2,2
"162366421",2,2,1,1,1,1,3,4,1,1,1,2,2,2,2,2,4,1,1,2,2,2,1,,2,2,2,2,1,1
"162366434",4,4,3,2,2,4,3,2,3,4,2,1,1,1,1,1,4,5,2,4,2,2,1,1,1,2,1,,2,2
"162366438",2,2,2,1,2,1,4,3,1,1,1,2,2,1,2,2,4,3,1,2,2,2,1,2,2,2,2,1,1,1
"162366440",4,3,3,3,1,4,4,4,2,3,2,1,1,1,1,1,2,5,2,4,1,2,1,1,1,1,1,1,2,2
"162366448",4,3,3,3,2,4,4,2,3,4,2,1,1,1,1,1,3,3,,4,,,1,1,1,1,1,1,2,
"162366459",5,5,5,3,3,4,4,4,3,3,2,1,2,1,1,2,3,4,1,2,2,2,2,2,1,1,1,2,2,1
"162366461",2,2,1,2,2,1,3,,3,1,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,1,1,1
"162366466",4,5,6,1,1,4,3,3,3,3,2,1,1,1,1,1,3,3,2,4,2,2,1,2,1,1,1,,1,2
"162366480",5,4,4,1,3,4,3,4,1,2,2,1,1,1,1,2,4,4,2,4,2,1,1,2,2,2,2,1,2,1
"162366507",2,2,2,1,2,2,4,4,1,2,1,2,2,1,1,1,3,2,1,4,2,1,2,2,2,2,2,,1,1
"162366509",5,4,3,3,1,4,3,3,3,3,2,1,1,1,2,1,4,3,1,4,2,2,2,1,2,2,1,1,2,1
"162366523",3,3,3,1,2,4,4,1,3,2,2,1,2,1,1,1,4,2,1,4,2,1,2,2,1,2,1,1,2,1
"162366536",3,2,3,2,2,4,4,4,3,4,2,2,1,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2
"162366561",2,3,3,1,2,4,3,3,3,3,2,1,2,1,1,1,2,4,2,4,2,1,2,1,1,1,1,1,2,2
"162366567",4,4,3,1,2,4,2,2,3,2,2,1,1,1,2,1,2,2,2,4,2,2,,1,1,1,1,1,2,2
"162366576",2,2,2,1,1,1,3,3,1,1,1,2,2,2,2,2,4,1,1,1,2,2,1,2,2,2,2,2,1,1
"162366578",2,2,2,1,1,1,4,3,1,1,1,2,2,2,2,2,4,2,1,2,2,1,2,2,2,1,2,2,1,1
"162366596",2,2,2,1,1,1,4,4,1,1,1,1,2,2,2,2,,1,1,1,2,1,1,,1,1,2,1,1,1
"162366598",4,4,3,3,3,4,3,2,3,1,1,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,,1,2
"162366602",5,3,3,2,2,4,3,3,3,3,1,1,1,1,2,2,2,5,2,4,2,2,1,1,1,1,1,1,1,1
"162366609",4,2,5,2,1,4,4,4,3,4,2,1,1,2,2,1,2,2,2,4,2,2,1,2,1,2,1,1,2,2
"162366618",2,3,3,1,2,3,4,2,3,3,2,2,2,1,2,2,4,2,2,4,2,1,2,2,1,1,2,1,2,1
"162366619",2,3,2,1,2,1,4,3,1,2,2,2,1,1,2,2,4,2,2,2,2,1,1,2,2,1,2,2,1,1
"162366627",5,3,4,3,1,4,3,4,3,3,2,1,1,1,2,1,4,2,1,4,2,2,1,1,1,2,1,2,2,1
"162366632",2,3,2,1,1,1,4,2,1,1,1,2,2,2,2,2,4,2,1,1,2,1,2,2,1,2,1,1,1,1
"162366633",5,5,6,2,2,4,2,3,3,4,2,1,1,1,1,1,2,5,2,4,2,2,,,1,1,1,1,2,2
"162366635",2,3,2,1,1,2,4,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,1
"162366640",5,3,6,1,1,4,4,4,3,4,2,1,1,1,1,1,2,5,2,4,2,2,1,1,1,1,1,1,2,1
"162366675",2,2,2,1,2,1,4,3,1,1,1,2,2,2,2,2,4,3,1,4,2,2,2,2,2,2,2,1,1,1
"162366679",4,2,3,1,1,2,3,3,3,2,2,2,2,1,1,1,4,4,2,3,2,2,1,2,1,2,2,1,1,1
"162366691",3,4,3,3,3,4,4,2,1,3,1,1,1,1,1,1,2,5,2,3,1,2,2,2,1,1,,,2,2
"162366695",4,2,4,2,2,4,3,2,3,3,2,1,1,1,1,1,2,4,2,4,1,1,2,1,1,1,1,1,2,2
"162366699",4,3,4,1,1,4,4,3,3,3,2,1,2,2,2,1,3,4,2,4,1,1,1,1,1,,1,,2,1
"162366700",4,3,4,2,1,4,3,2,3,3,2,1,1,1,1,2,2,4,2,4,2,1,2,1,1,1,1,,2,2
"162366717",3,3,2,1,1,2,4,4,1,1,1,2,2,1,2,2,4,2,1,1,2,2,2,2,2,2,2,2,1,1
"162366736",5,4,6,2,2,4,4,3,2,3,1,1,1,1,1,1,4,4,1,4,2,1,1,1,1,1,1,1,2,2
"162366740",4,5,6,2,2,4,2,2,3,3,2,1,1,1,2,1,2,4,2,4,2,1,1,1,1,1,1,1,2,2
"162366763",2,3,2,1,2,2,3,2,1,2,1,1,1,2,2,2,4,5,2,3,2,1,2,2,2,2,2,,1,1
"162366765",2,2,2,1,2,1,4,4,1,1,1,2,2,2,2,2,4,2,1,2,2,1,1,,2,1,2,1,1,1
"162366786",2,3,2,1,3,2,3,3,3,3,1,2,2,2,2,2,4,4,,3,2,2,2,2,2,2,2,1,1,1
"162366789",3,2,2,1,2,4,4,4,1,2,1,2,2,2,2,2,3,2,2,2,2,1,2,1,2,1,,,1,2
"162366796",3,2,2,1,1,2,2,2,1,2,1,1,1,1,2,2,3,3,2,3,2,1,2,2,2,1,2,,1,1
"162366799",3,3,4,3,1,4,3,2,3,3,2,1,1,1,1,2,4,4,1,4,1,1,1,1,1,1,1,1,2,1
"162366802",4,4,4,2,1,4,4,4,3,4,2,1,1,1,1,1,,5,,4,2,2,2,1,1,2,1,1,2,2
