"","CC302","CC304","CC302a","CC305","CC306","CC308a","CC308b","CC308c","CC320","CC321","CC322_1","CC322_2","CC322_3","CC322_4","CC322_5","CC322_6","CC324","CC325","CC326","CC327","CC332A","CC332B","CC332C","CC332D","CC332E","CC332F","CC332G","CC332H","CC332I","CC332J"
"160584463",4,2,2,2,3,4,4,2,1,2,1,2,1,1,2,1,2,4,2,4,1,1,1,2,1,1,1,1,2,1
"160626281",3,2,2,1,1,2,5,5,1,3,2,1,2,2,2,2,4,5,1,2,2,2,1,2,2,1,2,2,1,1
"160666873",3,3,2,1,2,1,2,3,3,3,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,1,1
"160666877",3,2,2,3,3,1,2,2,1,3,2,2,2,1,2,2,2,3,,3,2,2,,,2,2,2,1,1,1
"160674732",2,4,2,1,1,1,4,3,1,1,1,2,2,2,2,2,4,1,1,2,2,2,2,2,2,1,2,1,1,1
"160699595",2,5,3,2,2,1,2,2,1,3,2,1,1,1,1,1,2,3,2,1,2,2,1,2,1,2,2,1,1,1
"160769446",4,5,5,2,2,4,3,3,1,4,1,1,1,2,2,1,1,5,2,3,1,2,1,1,1,2,1,1,2,2
"160775749",3,3,6,1,2,4,4,3,3,3,2,1,1,1,1,2,4,1,1,3,2,2,1,2,1,1,1,1,2,1
"160806510",3,3,2,3,2,4,3,3,1,2,2,2,2,2,1,1,4,3,2,3,2,1,2,2,1,2,1,2,2,2
"160836577",3,4,2,3,2,1,3,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1
"160839823",3,4,3,1,3,1,3,3,3,1,1,2,2,2,2,2,4,1,1,2,2,1,1,2,2,2,2,1,1,1
"160886927",2,3,2,1,2,2,4,3,2,2,2,2,1,1,2,1,3,2,2,3,2,2,1,2,2,2,2,2,1,2
"160913357",3,4,2,1,3,2,2,2,1,2,1,2,2,1,2,2,4,3,1,3,2,1,1,2,2,1,1,1,1,1
"160920653",4,3,4,2,2,4,3,3,2,4,2,1,2,1,1,1,1,4,2,4,1,,1,1,1,2,1,1,2,2
"160933812",4,4,6,1,3,4,3,3,3,3,2,1,2,2,2,2,1,4,2,2,2,2,2,2,1,1,1,2,2,1
"160938845",3,2,3,3,3,3,3,3,1,2,2,1,2,2,2,2,4,4,1,2,2,2,2,2,2,2,2,,2,2
"160947747",2,3,1,1,1,2,2,2,1,2,1,2,2,1,2,2,4,2,1,2,2,1,2,2,2,1,2,2,1,1
"160949591",2,2,2,3,3,1,4,4,2,4,2,2,1,2,2,2,4,3,1,2,1,2,1,2,1,2,1,2,1,2
"160950091",5,3,5,3,3,4,2,4,1,3,2,1,2,2,2,1,1,3,2,4,2,2,,1,1,,,,2,2
"160955604",2,3,2,2,3,1,4,3,1,3,1,2,2,2,2,2,4,3,2,2,2,1,2,2,1,1,2,1,1,2
"160967026",2,3,2,1,2,1,4,3,1,1,2,2,2,1,2,2,4,2,1,2,2,1,1,2,2,1,2,1,1,1
"160969172",2,2,2,1,2,2,4,2,1,1,1,2,2,2,2,2,2,3,1,2,2,2,2,2,1,1,2,2,1,1
"160972800",4,4,4,2,2,4,4,3,3,3,2,1,1,1,1,1,4,4,2,3,1,1,1,2,2,1,2,1,1,2
"160993975",4,3,4,1,1,4,4,4,3,1,2,1,1,1,1,1,2,3,2,4,2,1,2,,1,2,1,,2,1
"161016050",3,2,3,3,2,2,3,2,3,2,1,2,2,1,2,2,3,3,1,3,2,1,2,2,2,1,2,1,1,1
"161018972",4,3,3,2,1,4,4,4,1,2,2,2,1,1,1,1,3,4,1,2,1,2,2,1,2,2,2,1,2,1
"161024062",4,3,4,2,2,4,4,4,1,2,2,1,2,1,1,1,4,1,1,3,2,1,2,2,2,2,2,1,2,1
"161029094",2,3,2,1,1,1,4,3,1,1,1,2,2,2,2,2,4,1,1,2,2,1,1,2,2,1,2,,1,1
"161036481",5,3,6,2,2,4,4,3,2,3,2,1,1,1,1,1,2,5,2,4,1,,1,,1,,1,,2,2
"161084408",3,5,2,1,1,1,3,3,1,2,2,1,1,1,1,1,4,3,2,1,2,2,2,2,2,2,2,,1,1
"161097524",2,3,2,3,3,1,4,5,1,2,2,1,2,1,2,1,4,3,1,1,2,1,1,2,2,2,1,,1,1
"161101840",2,2,2,1,1,1,4,3,1,2,1,1,2,1,2,2,4,3,1,2,2,1,2,2,2,1,2,2,1,1
"161103335",5,4,6,1,2,4,4,3,3,4,2,1,2,1,2,2,2,4,2,3,1,1,2,1,1,1,1,,2,2
"161103342",4,3,3,2,2,4,2,4,3,3,2,1,1,1,1,1,4,3,2,4,2,1,2,2,1,2,1,1,2,1
"161111096",5,5,5,2,2,4,4,4,3,5,2,2,2,2,2,1,2,3,2,4,2,2,1,2,2,2,1,1,2,1
"161113641",4,4,4,3,2,4,4,3,2,3,2,1,2,1,1,2,1,4,2,4,1,2,2,1,1,2,1,1,2,2
"161118844",4,2,5,3,3,4,3,3,3,3,2,2,2,1,2,2,2,5,2,4,2,2,2,2,2,1,2,2,1,2
"161119203",2,1,2,1,1,2,4,1,1,1,1,1,2,2,2,2,3,3,1,1,2,1,1,2,2,1,2,2,1,1
"161129137",3,3,3,1,1,2,4,3,1,2,2,2,2,2,2,2,,4,,,,,,,2,,2,,1,1
"161133421",5,5,5,1,1,4,1,3,3,4,1,2,1,1,1,2,4,5,2,3,2,1,2,2,1,1,2,1,1,2
"161136451",2,3,2,1,1,2,3,2,3,2,1,1,2,1,2,1,3,3,1,4,2,1,2,2,2,2,2,1,1,1
"161138486",4,4,3,1,1,2,5,2,1,1,2,2,2,1,2,2,4,2,1,2,2,2,1,2,1,2,2,1,1,1
"161144552",2,3,6,1,1,2,3,5,3,1,2,2,2,2,2,2,4,1,1,3,1,1,1,2,2,1,1,2,1,1
"161153859",2,3,2,1,1,2,4,2,1,1,1,2,2,2,2,2,2,3,1,2,2,1,2,1,2,2,2,,1,1
"161156148",5,5,3,2,2,4,4,3,2,1,1,1,1,1,1,1,2,2,2,4,2,2,1,2,2,2,1,1,2,2
"161158710",3,2,6,1,2,1,3,2,3,2,1,1,2,2,2,2,4,1,1,4,2,2,2,2,2,2,2,2,1,1
"161166631",4,2,3,3,3,2,4,2,3,2,2,2,2,1,1,2,4,4,1,3,2,1,2,1,2,2,2,1,1,1
"161179289",5,4,6,3,3,4,4,4,2,1,1,2,2,2,2,2,2,1,2,3,1,2,2,2,2,2,1,1,2,2
"161180603",5,3,5,2,2,4,4,2,2,4,2,1,2,1,1,1,4,5,1,4,2,1,2,2,2,1,1,1,2,1
"161180607",3,2,2,1,1,1,2,2,3,1,2,1,2,2,2,2,2,3,1,2,2,1,1,2,2,1,2,1,1,2
"161230692",4,5,4,2,2,4,3,2,2,5,2,1,2,1,1,1,2,4,2,4,1,2,1,1,1,1,1,1,2,2
"161234230",2,2,2,1,2,2,4,4,3,2,1,1,2,1,2,1,4,2,1,4,2,1,1,2,2,2,2,2,1,1
"161235850",3,4,4,1,2,4,4,2,3,1,1,1,1,2,1,1,4,1,2,4,2,2,1,2,2,1,2,2,1,1
"161239301",2,1,2,3,2,2,4,3,3,1,1,1,2,2,2,2,3,2,1,3,2,1,1,2,2,2,2,2,1,1
"161243503",5,4,5,2,2,4,4,4,3,3,2,1,2,2,2,2,4,5,2,4,2,1,1,2,1,2,1,1,2,2
